,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,-0.099920343,-0.449241163,0.736361691,-0.041635494,0.103009401,0.017487051,-0.056086294,-0.210014419,0.065749669,0.422691664,-0.318265409,0.223850248,-0.580860215,0.303319602,0.056034371,-0.020253914,0.608727683,-0.343060111,-0.218878448,-0.005775755,0.059289343,-0.080913816,-0.086239369,-0.112848934,0.306106847,0.157807911,-0.388743788,0.017380615,0.556743653,-0.349614184,0.163499152,0.245872351,-0.456540462,-0.025631474,0.081670431,0.232344794,-0.314663954,-0.026096388,0.015185444,-0.174086191,-0.239297619,0.199101304,-0.039096217,0.399941497,-0.045497512,0.16526469,0.123490573
1,-0.099910029,-0.44924691,0.736341089,-0.0416118,0.102983718,0.017497764,-0.056065822,-0.210013906,0.065732407,0.422690245,-0.318244888,0.223844072,-0.580850701,0.303302433,0.056021045,-0.020225682,0.608718835,-0.34304739,-0.218891542,-0.005790876,0.059284225,-0.080913186,-0.086219684,-0.112844134,0.306091973,0.157806459,-0.388730401,0.017376748,0.55673114,-0.34959882,0.163478127,0.245869647,-0.456518263,-0.025632269,0.081661921,0.232334148,-0.314635699,-0.026083108,0.01515878,-0.174081858,-0.239281912,0.199064418,-0.039068536,0.399928931,-0.045475274,0.165240904,0.123485236
2,-0.099881991,-0.449262529,0.736285087,-0.041547392,0.102913903,0.017526885,-0.056010171,-0.210012513,0.065685483,0.42268639,-0.318189106,0.223827284,-0.580824839,0.303255761,0.055984821,-0.02014894,0.608694784,-0.343012812,-0.218927134,-0.00583198,0.059270311,-0.080911474,-0.086166177,-0.112831084,0.306051541,0.157802511,-0.38869401,0.017366234,0.556697125,-0.349557057,0.163420976,0.245862297,-0.456457917,-0.025634431,0.081638786,0.23230521,-0.314558894,-0.02604701,0.0150863,-0.174070077,-0.239239214,0.198964149,-0.038993291,0.399894773,-0.045414825,0.165176245,0.12347073
3,-0.099805777,-0.449304987,0.736132856,-0.041372313,0.102724127,0.017606044,-0.055858898,-0.210008725,0.06555793,0.422675909,-0.318037474,0.223781649,-0.580754538,0.303128894,0.055886355,-0.019940333,0.608629406,-0.342918819,-0.219023883,-0.005943713,0.05923249,-0.080906821,-0.086020729,-0.112795612,0.305941636,0.15779178,-0.388595089,0.017337655,0.556604662,-0.349443534,0.163265622,0.245842317,-0.456293882,-0.025640306,0.081575898,0.232226546,-0.314350116,-0.025948885,0.014889279,-0.174038055,-0.239123148,0.19869159,-0.038788752,0.399801922,-0.045250506,0.165000484,0.123431298
4,-0.099598605,-0.4494204,0.735719051,-0.040896399,0.102208262,0.01782122,-0.055447694,-0.209998429,0.065211205,0.422647419,-0.317625295,0.223657601,-0.580563441,0.302784035,0.055618695,-0.01937328,0.608451691,-0.342663319,-0.219286875,-0.006247434,0.059129681,-0.080894173,-0.085625359,-0.112699188,0.305642884,0.157762609,-0.388326195,0.017259969,0.556353324,-0.349134945,0.162843328,0.245788004,-0.455847988,-0.025656278,0.081404953,0.232012717,-0.3137826,-0.025682153,0.014353719,-0.173951008,-0.23880765,0.197950699,-0.038232759,0.399549528,-0.044803842,0.164522718,0.123324111
5,-0.099043527,-0.44973818,0.73459902,-0.03959706,0.100806362,0.018403244,-0.054335101,-0.209972526,0.064272911,0.422573242,-0.316514942,0.223323961,-0.58003809,0.301857583,0.05488287,-0.017829201,0.607964602,-0.341972529,-0.219991427,-0.007069658,0.058843012,-0.080853766,-0.084550558,-0.112436603,0.304822045,0.157695087,-0.387610296,0.017049674,0.555672743,-0.348295693,0.161694023,0.245641739,-0.454630873,-0.025706629,0.080933846,0.231439427,-0.312240393,-0.024999898,0.012967264,-0.173718793,-0.237954984,0.195938046,-0.036712525,0.398854013,-0.04359723,0.163218705,0.123026556
6,-0.097503331,-0.45064876,0.731568307,-0.036047809,0.096991586,0.019983572,-0.051317851,-0.209902382,0.061710783,0.422367974,-0.31347411,0.222396515,-0.578612112,0.299343131,0.052888773,-0.013633108,0.60663455,-0.3401053,-0.221873073,-0.009041575,0.057875427,-0.080809524,-0.081654929,-0.111720406,0.302553635,0.157520108,-0.385681854,0.016490683,0.553816645,-0.345908907,0.158577426,0.24518082,-0.451330542,-0.025788295,0.079665504,0.22980175,-0.308076998,-0.023138712,0.009240056,-0.173105285,-0.235618604,0.190478781,-0.032582596,0.39693964,-0.040328833,0.159662306,0.122241356
7,-0.092978176,-0.468111906,0.734485489,-0.025312392,0.088129048,0.022962277,-0.041110191,-0.215289806,0.057112293,0.425686631,-0.301838857,0.21864655,-0.582158291,0.292833809,0.0466997,0,0.609852498,-0.336461396,-0.233588465,-0.013081588,0.056384403,-0.082316059,-0.077653574,-0.112825552,0.307009685,0.150522183,-0.37806351,0.011835708,0.553457524,-0.337993459,0.151871036,0.249724373,-0.452929053,-0.0260705,0.083505866,0.229753615,-0.307290389,-0.014800517,-0.000945187,-0.18411388,-0.238662771,0.185778043,-0.022758913,0.398631959,-0.03503669,0.155220169,0.126345998
8,-0.081714507,-0.474695576,0.712249136,0,0.060435124,0.036790243,-0.022061557,-0.21465593,0.035012809,0.427922179,-0.279738073,0.210236032,-0.567283047,0.275751117,0.03074422,0.012988184,0.608538992,-0.316555799,-0.242450505,-0.021144688,0.040783605,-0.075113942,-0.060284376,-0.107253939,0.287786319,0.147871295,-0.364970282,0.008900854,0.540116487,-0.3166979,0.129276295,0.246502111,-0.430559386,-0.026317644,0.07511325,0.21734403,-0.276467171,-0.013838912,-0.002147989,-0.179882931,-0.225248211,0.14923911,-0.003088052,0.382518828,-0.014204652,0.133712994,0.113444249
9,-0.053103444,-0.463094525,0.652418157,0,0.050518976,0.071598323,0,-0.185888394,0,0.40709927,-0.232993006,0.176434382,-0.515896061,0.244063092,0,0.007221989,0.605935294,-0.245751928,-0.242558091,-0.031340532,0,-0.056920791,-0.027767534,-0.091736326,0.232277902,0.137885015,-0.329356615,0,0.498759154,-0.251104621,0.070416657,0.234617196,-0.363234685,-0.029223401,0.052155444,0.172552322,-0.189060478,-0.030972859,-2.94E-05,-0.129573907,-0.190486101,0.059804114,0,0.360666677,-0.0002026,0.10539298,0.07038474
