,0,1,2,3,4,5,6,7,8
0,0.7172062340419252,0.03519825505865518,-0.017749918159969,-0.2217533263318014,-0.2145761971008447,0.5175242259259418,-0.5654623378281854,-0.15691984055995767,0.11798907661368849
1,0.7171104570702762,0.03519436882865219,-0.017688914608124422,-0.2217204444502848,-0.21456310722045857,0.5175181172199996,-0.5654531725226845,-0.15684178959784745,0.11790611826896305
2,0.7168501082686581,0.03518380496025348,-0.017523089761673966,-0.2216310622292727,-0.21452752523646818,0.5175015120356412,-0.5654282586392889,-0.15662962508584916,0.117680614107976
3,0.7161424068521595,0.0351550893887463,-0.017072331094860282,-0.22138809616210825,-0.21443080337596648,0.5174563744647421,-0.5653605356827781,-0.15605290214824047,0.11706763024492375
4,0.7142186749517162,0.03507703237252482,-0.01584704200184046,-0.22072764591680322,-0.21416788610014983,0.517333677825986,-0.5651764456007256,-0.154485206666883,0.11540136734884973
5,0.7089894294839143,0.03486485140374615,-0.01251636092567561,-0.21893235601638886,-0.21345320284690988,0.5170001537824418,-0.5646760368758825,-0.15022376852735206,0.11087199519701632
6,0.6948627949200035,0.03428726399216152,-0.004747490750804306,-0.21297512851780223,-0.2115106065297847,0.5158585799265339,-0.5634830164111808,-0.1388905216651409,0.09862285721633052
7,0.6568476647455951,0.03271637194877158,0.0,-0.18210118725635066,-0.20581166786582408,0.5104035737816666,-0.5621197251697245,-0.11067198801190152,0.06588017563134571
8,0.5139251144236903,0.022994878472799456,0.0,-0.07714808886255278,-0.1513150322966965,0.5043356666003243,-0.545156920902793,-0.056378746723775616,0.0
9,0.36464390835056637,0.01757111384349136,0.0,0.0,-0.03205162636440909,0.5156191987117267,-0.4791773628050164,-0.03040296323164453,0.0
10,0.2934680170808486,0.00794072880406398,0.0024533980670587096,0.0,0.0,0.46231672318312356,-0.4025925847925568,0.0,0.0
11,0.04800145432897995,0.008617688225102737,0.0,0.0,0.0,0.24778929566133953,-0.24660201418619118,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
