,0
0,710.0
1,700.0
2,625.0
3,750.0
4,785.0
5,580.0
6,795.0
7,850.0
8,620.0
9,710.0
10,720.0
11,890.0
12,690.0
13,790.0
14,1750.0
15,1380.0
16,1130.0
17,1445.0
18,1860.0
19,1400.0
20,1800.0
21,1860.0
22,2100.0
23,730.0
24,710.0
25,685.0
26,735.0
27,2000.0
28,2750.0
29,2750.0
30,2481.0
31,2970.0
